dtcode23,dtcode11,stdtname,dtname,dtusename,stcode11,stcode23,st2code,stname
66,66,uk_nainital,Nainital,nainital,5,5,UK,UTTARAKHAND
67,62,uk_pithoragarh,Pithoragarh,pithoragarh,5,5,UK,UTTARAKHAND
68,58,uk_rudraprayag,Rudraprayag,rudraprayag,5,5,UK,UTTARAKHAND
69,59,uk_tehri_garhwal,Tehri Garhwal,tehri_garhwal,5,5,UK,UTTARAKHAND
70,67,uk_udham_singh_nagar,Udham Singh Nagar,udham_singh_nagar,5,5,UK,UTTARAKHAND
71,56,uk_uttarkashi,Uttarkashi,uttarkashi,5,5,UK,UTTARAKHAND
72,70,hr_ambala,Ambala,ambala,6,6,HR,HARYANA
73,81,hr_bhiwani,Bhiwani,bhiwani,6,6,HR,HARYANA
74,765,hr_charki_dadri,Charki Dadri,charki_dadri,6,6,HR,HARYANA
75,88,hr_faridabad,Faridabad,faridabad,6,6,HR,HARYANA
76,78,hr_fatehabad,Fatehabad,fatehabad,6,6,HR,HARYANA
77,86,hr_gurugram,Gurugram,gurugram,6,6,HR,HARYANA
78,80,hr_hisar,Hisar,hisar,6,6,HR,HARYANA
79,83,hr_jhajjar,Jhajjar,jhajjar,6,6,HR,HARYANA
80,77,hr_jind,Jind,jind,6,6,HR,HARYANA
81,73,hr_kaithal,Kaithal,kaithal,6,6,HR,HARYANA
82,74,hr_karnal,Karnal,karnal,6,6,HR,HARYANA
83,72,hr_kurukshetra,Kurukshetra,kurukshetra,6,6,HR,HARYANA
84,84,hr_mahendragarh,Mahendragarh,mahendragarh,6,6,HR,HARYANA
85,87,hr_nuh,Nuh,nuh,6,6,HR,HARYANA
86,89,hr_palwal,Palwal,palwal,6,6,HR,HARYANA
87,69,hr_panchkula,Panchkula,panchkula,6,6,HR,HARYANA
88,75,hr_panipat,Panipat,panipat,6,6,HR,HARYANA
89,85,hr_rewari,Rewari,rewari,6,6,HR,HARYANA
90,82,hr_rohtak,Rohtak,rohtak,6,6,HR,HARYANA
91,79,hr_sirsa,Sirsa,sirsa,6,6,HR,HARYANA
92,76,hr_sonipat,Sonipat,sonipat,6,6,HR,HARYANA
93,71,hr_yamunanagar,Yamunanagar,yamunanagar,6,6,HR,HARYANA
94,95,dl_central,Central,central,7,7,DL,DELHI
95,93,dl_east,East,east,7,7,DL,DELHI
96,94,dl_new_delhi,New Delhi,new_delhi,7,7,DL,DELHI
97,91,dl_north,North,north,7,7,DL,DELHI
98,92,dl_north_east,North East,north_east,7,7,DL,DELHI
99,90,dl_north_west,North West,north_west,7,7,DL,DELHI
100,702,dl_shahdara,Shahdara,shahdara,7,7,DL,DELHI
101,98,dl_south,South,south,7,7,DL,DELHI
102,703,dl_south_east,South East,south_east,7,7,DL,DELHI
103,97,dl_south_west,South West,south_west,7,7,DL,DELHI
104,96,dl_west,West,west,7,7,DL,DELHI
105,119,rj_ajmer,Ajmer,ajmer,8,8,RJ,RAJASTHAN
106,104,rj_alwar,Alwar,alwar,8,8,RJ,RAJASTHAN
107,125,rj_banswara,Banswara,banswara,8,8,RJ,RAJASTHAN
108,128,rj_baran,Baran,baran,8,8,RJ,RAJASTHAN
109,115,rj_barmer,Barmer,barmer,8,8,RJ,RAJASTHAN
110,105,rj_bharatpur,Bharatpur,bharatpur,8,8,RJ,RAJASTHAN
111,122,rj_bhilwara,Bhilwara,bhilwara,8,8,RJ,RAJASTHAN
112,101,rj_bikaner,Bikaner,bikaner,8,8,RJ,RAJASTHAN
113,121,rj_bundi,Bundi,bundi,8,8,RJ,RAJASTHAN
114,126,rj_chittaurgarh,Chittaurgarh,chittaurgarh,8,8,RJ,RAJASTHAN
115,102,rj_churu,Churu,churu,8,8,RJ,RAJASTHAN
116,109,rj_dausa,Dausa,dausa,8,8,RJ,RAJASTHAN
117,106,rj_dhaulpur,Dhaulpur,dhaulpur,8,8,RJ,RAJASTHAN
118,124,rj_dungarpur,Dungarpur,dungarpur,8,8,RJ,RAJASTHAN
119,99,rj_ganganagar,Ganganagar,ganganagar,8,8,RJ,RAJASTHAN
120,100,rj_hanumangarh,Hanumangarh,hanumangarh,8,8,RJ,RAJASTHAN
121,110,rj_jaipur,Jaipur,jaipur,8,8,RJ,RAJASTHAN
122,114,rj_jaisalmer,Jaisalmer,jaisalmer,8,8,RJ,RAJASTHAN
123,116,rj_jalor,Jalor,jalor,8,8,RJ,RAJASTHAN
124,129,rj_jhalawar,Jhalawar,jhalawar,8,8,RJ,RAJASTHAN
125,103,rj_jhunjhunun,Jhunjhunun,jhunjhunun,8,8,RJ,RAJASTHAN
126,113,rj_jodhpur,Jodhpur,jodhpur,8,8,RJ,RAJASTHAN
127,107,rj_karauli,Karauli,karauli,8,8,RJ,RAJASTHAN
128,127,rj_kota,Kota,kota,8,8,RJ,RAJASTHAN
129,112,rj_nagaur,Nagaur,nagaur,8,8,RJ,RAJASTHAN
130,118,rj_pali,Pali,pali,8,8,RJ,RAJASTHAN
132,123,rj_rajsamand,Rajsamand,rajsamand,8,8,RJ,RAJASTHAN
133,108,rj_sawai_madhopur,Sawai Madhopur,sawai_madhopur,8,8,RJ,RAJASTHAN
134,111,rj_sikar,Sikar,sikar,8,8,RJ,RAJASTHAN
135,117,rj_sirohi,Sirohi,sirohi,8,8,RJ,RAJASTHAN
136,120,rj_tonk,Tonk,tonk,8,8,RJ,RAJASTHAN
137,130,rj_udaipur,Udaipur,udaipur,8,8,RJ,RAJASTHAN
197,131,rj_pratapgarh,Pratapgarh,pratapgarh,8,8,RJ,RAJASTHAN
138,146,up_agra,Agra,agra,9,9,UP,UTTAR PRADESH
139,143,up_aligarh,Aligarh,aligarh,9,9,UP,UTTAR PRADESH
140,178,up_ambedkar_nagar,Ambedkar Nagar,ambedkar_nagar,9,9,UP,UTTAR PRADESH
141,706,up_amethi,Amethi,amethi,9,9,UP,UTTAR PRADESH
142,137,up_amroha,Amroha,amroha,9,9,UP,UTTAR PRADESH
143,162,up_auraiya,Auraiya,auraiya,9,9,UP,UTTAR PRADESH
144,191,up_azamgarh,Azamgarh,azamgarh,9,9,UP,UTTAR PRADESH
145,139,up_baghpat,Baghpat,baghpat,9,9,UP,UTTAR PRADESH
146,180,up_bahraich,Bahraich,bahraich,9,9,UP,UTTAR PRADESH
147,193,up_ballia,Ballia,ballia,9,9,UP,UTTAR PRADESH
149,170,up_banda,Banda,banda,9,9,UP,UTTAR PRADESH
150,176,up_bara_banki,Bara Banki,bara_banki,9,9,UP,UTTAR PRADESH
151,150,up_bareilly,Bareilly,bareilly,9,9,UP,UTTAR PRADESH
152,185,up_basti,Basti,basti,9,9,UP,UTTAR PRADESH
153,198,up_bhadohi,Bhadohi,bhadohi,9,9,UP,UTTAR PRADESH
154,134,up_bijnor,Bijnor,bijnor,9,9,UP,UTTAR PRADESH
155,149,up_budaun,Budaun,budaun,9,9,UP,UTTAR PRADESH
156,142,up_bulandshahr,Bulandshahr,bulandshahr,9,9,UP,UTTAR PRADESH
157,196,up_chandauli,Chandauli,chandauli,9,9,UP,UTTAR PRADESH
158,171,up_chitrakoot,Chitrakoot,chitrakoot,9,9,UP,UTTAR PRADESH
159,190,up_deoria,Deoria,deoria,9,9,UP,UTTAR PRADESH
160,201,up_etah,Etah,etah,9,9,UP,UTTAR PRADESH
161,161,up_etawah,Etawah,etawah,9,9,UP,UTTAR PRADESH
162,177,up_faizabad,Faizabad,faizabad,9,9,UP,UTTAR PRADESH
163,159,up_farrukhabad,Farrukhabad,farrukhabad,9,9,UP,UTTAR PRADESH
164,172,up_fatehpur,Fatehpur,fatehpur,9,9,UP,UTTAR PRADESH
165,147,up_firozabad,Firozabad,firozabad,9,9,UP,UTTAR PRADESH
166,141,up_gautam_buddha_nagar,Gautam Buddha Nagar,gautam_buddha_nagar,9,9,UP,UTTAR PRADESH
167,140,up_ghaziabad,Ghaziabad,ghaziabad,9,9,UP,UTTAR PRADESH
168,195,up_ghazipur,Ghazipur,ghazipur,9,9,UP,UTTAR PRADESH
169,183,up_gonda,Gonda,gonda,9,9,UP,UTTAR PRADESH
170,188,up_gorakhpur,Gorakhpur,gorakhpur,9,9,UP,UTTAR PRADESH
171,168,up_hamirpur,Hamirpur,hamirpur,9,9,UP,UTTAR PRADESH
172,705,up_hapur,Hapur,hapur,9,9,UP,UTTAR PRADESH
173,155,up_hardoi,Hardoi,hardoi,9,9,UP,UTTAR PRADESH
174,144,up_hathras,Hathras,hathras,9,9,UP,UTTAR PRADESH
175,165,up_jalaun,Jalaun,jalaun,9,9,UP,UTTAR PRADESH
176,194,up_jaunpur,Jaunpur,jaunpur,9,9,UP,UTTAR PRADESH
177,166,up_jhansi,Jhansi,jhansi,9,9,UP,UTTAR PRADESH
178,160,up_kannauj,Kannauj,kannauj,9,9,UP,UTTAR PRADESH
179,163,up_kanpur_dehat,Kanpur Dehat,kanpur_dehat,9,9,UP,UTTAR PRADESH
180,164,up_kanpur_nagar,Kanpur Nagar,kanpur_nagar,9,9,UP,UTTAR PRADESH
181,202,up_kasganj,Kasganj,kasganj,9,9,UP,UTTAR PRADESH
182,174,up_kaushambi,Kaushambi,kaushambi,9,9,UP,UTTAR PRADESH
183,153,up_kheri,Kheri,kheri,9,9,UP,UTTAR PRADESH
184,189,up_kushinagar,Kushinagar,kushinagar,9,9,UP,UTTAR PRADESH
185,167,up_lalitpur,Lalitpur,lalitpur,9,9,UP,UTTAR PRADESH
186,157,up_lucknow,Lucknow,lucknow,9,9,UP,UTTAR PRADESH
187,169,up_mahoba,Mahoba,mahoba,9,9,UP,UTTAR PRADESH
188,187,up_mahrajganj,Mahrajganj,mahrajganj,9,9,UP,UTTAR PRADESH
189,148,up_mainpuri,Mainpuri,mainpuri,9,9,UP,UTTAR PRADESH
190,145,up_mathura,Mathura,mathura,9,9,UP,UTTAR PRADESH
191,192,up_mau,Mau,mau,9,9,UP,UTTAR PRADESH
192,138,up_meerut,Meerut,meerut,9,9,UP,UTTAR PRADESH
193,199,up_mirzapur,Mirzapur,mirzapur,9,9,UP,UTTAR PRADESH
194,135,up_moradabad,Moradabad,moradabad,9,9,UP,UTTAR PRADESH
195,133,up_muzaffarnagar,Muzaffarnagar,muzaffarnagar,9,9,UP,UTTAR PRADESH
196,151,up_pilibhit,Pilibhit,pilibhit,9,9,UP,UTTAR PRADESH
197,173,up_pratapgarh,Pratapgarh,pratapgarh,9,9,UP,UTTAR PRADESH
198,175,up_prayagraj,Prayagraj,prayagraj,9,9,UP,UTTAR PRADESH
199,158,up_rae_bareli,Rae Bareli,rae_bareli,9,9,UP,UTTAR PRADESH
200,136,up_rampur,Rampur,rampur,9,9,UP,UTTAR PRADESH
201,132,up_saharanpur,Saharanpur,saharanpur,9,9,UP,UTTAR PRADESH
202,754,up_sambhal,Sambhal,sambhal,9,9,UP,UTTAR PRADESH
203,186,up_sant_kabir_nagar,Sant Kabir Nagar,sant_kabir_nagar,9,9,UP,UTTAR PRADESH
204,152,up_shahjahanpur,Shahjahanpur,shahjahanpur,9,9,UP,UTTAR PRADESH
205,704,up_shamli,Shamli,shamli,9,9,UP,UTTAR PRADESH
206,181,up_shrawasti,Shrawasti,shrawasti,9,9,UP,UTTAR PRADESH
207,184,up_siddharthnagar,Siddharthnagar,siddharthnagar,9,9,UP,UTTAR PRADESH
208,154,up_sitapur,Sitapur,sitapur,9,9,UP,UTTAR PRADESH
209,200,up_sonbhadra,Sonbhadra,sonbhadra,9,9,UP,UTTAR PRADESH
210,179,up_sultanpur,Sultanpur,sultanpur,9,9,UP,UTTAR PRADESH
211,156,up_unnao,Unnao,unnao,9,9,UP,UTTAR PRADESH
212,197,up_varanasi,Varanasi,varanasi,9,9,UP,UTTAR PRADESH
452,182,up_balrampur,Balrampur,balrampur,9,9,UP,UTTAR PRADESH
213,209,bh_araria,Araria,araria,10,10,BH,BIHAR
214,240,bh_arwal,Arwal,arwal,10,10,BH,BIHAR
216,225,bh_banka,Banka,banka,10,10,BH,BIHAR
217,222,bh_begusarai,Begusarai,begusarai,10,10,BH,BIHAR
218,224,bh_bhagalpur,Bhagalpur,bhagalpur,10,10,BH,BIHAR
219,231,bh_bhojpur,Bhojpur,bhojpur,10,10,BH,BIHAR
220,232,bh_buxar,Buxar,buxar,10,10,BH,BIHAR
221,215,bh_darbhanga,Darbhanga,darbhanga,10,10,BH,BIHAR
222,236,bh_gaya,Gaya,gaya,10,10,BH,BIHAR
223,217,bh_gopalganj,Gopalganj,gopalganj,10,10,BH,BIHAR
224,238,bh_jamui,Jamui,jamui,10,10,BH,BIHAR
225,239,bh_jehanabad,Jehanabad,jehanabad,10,10,BH,BIHAR
226,233,bh_kaimur_(bhabua),Kaimur (bhabua),kaimur_(bhabua),10,10,BH,BIHAR
227,212,bh_katihar,Katihar,katihar,10,10,BH,BIHAR
228,223,bh_khagaria,Khagaria,khagaria,10,10,BH,BIHAR
229,210,bh_kishanganj,Kishanganj,kishanganj,10,10,BH,BIHAR
230,227,bh_lakhisarai,Lakhisarai,lakhisarai,10,10,BH,BIHAR
231,213,bh_madhepura,Madhepura,madhepura,10,10,BH,BIHAR
232,207,bh_madhubani,Madhubani,madhubani,10,10,BH,BIHAR
233,226,bh_munger,Munger,munger,10,10,BH,BIHAR
234,216,bh_muzaffarpur,Muzaffarpur,muzaffarpur,10,10,BH,BIHAR
235,229,bh_nalanda,Nalanda,nalanda,10,10,BH,BIHAR
236,237,bh_nawada,Nawada,nawada,10,10,BH,BIHAR
237,203,bh_pashchim_champaran,Pashchim Champaran,pashchim_champaran,10,10,BH,BIHAR
238,230,bh_patna,Patna,patna,10,10,BH,BIHAR
239,204,bh_purba_champaran,Purba Champaran,purba_champaran,10,10,BH,BIHAR
240,211,bh_purnia,Purnia,purnia,10,10,BH,BIHAR
241,234,bh_rohtas,Rohtas,rohtas,10,10,BH,BIHAR
242,214,bh_saharsa,Saharsa,saharsa,10,10,BH,BIHAR
243,221,bh_samastipur,Samastipur,samastipur,10,10,BH,BIHAR
244,219,bh_saran,Saran,saran,10,10,BH,BIHAR
245,228,bh_sheikhpura,Sheikhpura,sheikhpura,10,10,BH,BIHAR
246,205,bh_sheohar,Sheohar,sheohar,10,10,BH,BIHAR
247,206,bh_sitamarhi,Sitamarhi,sitamarhi,10,10,BH,BIHAR
248,218,bh_siwan,Siwan,siwan,10,10,BH,BIHAR
249,208,bh_supaul,Supaul,supaul,10,10,BH,BIHAR
250,220,bh_vaishali,Vaishali,vaishali,10,10,BH,BIHAR
566,235,bh_aurangabad,Aurangabad,aurangabad,10,10,BH,BIHAR
251,244,sk_east_district,East District,east_district,11,11,SK,SIKKIM
252,241,sk_north__district,North  District,north__district,11,11,SK,SIKKIM
253,243,sk_south_district,South District,south_district,11,11,SK,SIKKIM
254,242,sk_west_district,West District,west_district,11,11,SK,SIKKIM
255,260,ar_anjaw,Anjaw,anjaw,12,12,AR,ARUNACHAL PRADESH
256,253,ar_changlang,Changlang,changlang,12,12,AR,ARUNACHAL PRADESH
257,247,ar_east_kameng,East Kameng,east_kameng,12,12,AR,ARUNACHAL PRADESH
258,251,ar_east_siang,East Siang,east_siang,12,12,AR,ARUNACHAL PRADESH
259,778,ar_kamle,Kamle,kamle,12,12,AR,ARUNACHAL PRADESH
260,763,ar_kra_daadi,Kra Daadi,kra_daadi,12,12,AR,ARUNACHAL PRADESH
261,256,ar_kurung_kumey,Kurung Kumey,kurung_kumey,12,12,AR,ARUNACHAL PRADESH
262,784,ar_lepa_rada,Lepa Rada,lepa_rada,12,12,AR,ARUNACHAL PRADESH
263,259,ar_lohit,Lohit,lohit,12,12,AR,ARUNACHAL PRADESH
264,761,ar_longding,Longding,longding,12,12,AR,ARUNACHAL PRADESH
265,258,ar_lower_dibang_valley,Lower Dibang Valley,lower_dibang_valley,12,12,AR,ARUNACHAL PRADESH
266,779,ar_lower_siang,Lower Siang,lower_siang,12,12,AR,ARUNACHAL PRADESH
267,255,ar_lower_subansiri,Lower Subansiri,lower_subansiri,12,12,AR,ARUNACHAL PRADESH
268,762,ar_namsai,Namsai,namsai,12,12,AR,ARUNACHAL PRADESH
269,783,ar_pakke_kessang,Pakke Kessang,pakke_kessang,12,12,AR,ARUNACHAL PRADESH
270,248,ar_papum_pare,Papum Pare,papum_pare,12,12,AR,ARUNACHAL PRADESH
271,785,ar_shi_yomi,Shi Yomi,shi_yomi,12,12,AR,ARUNACHAL PRADESH
272,764,ar_siang,Siang,siang,12,12,AR,ARUNACHAL PRADESH
273,245,ar_tawang,Tawang,tawang,12,12,AR,ARUNACHAL PRADESH
274,254,ar_tirap,Tirap,tirap,12,12,AR,ARUNACHAL PRADESH
275,257,ar_upper_dibang_valley,Upper Dibang Valley,upper_dibang_valley,12,12,AR,ARUNACHAL PRADESH
276,252,ar_upper_siang,Upper Siang,upper_siang,12,12,AR,ARUNACHAL PRADESH
277,249,ar_upper_subansiri,Upper Subansiri,upper_subansiri,12,12,AR,ARUNACHAL PRADESH
278,246,ar_west_kameng,West Kameng,west_kameng,12,12,AR,ARUNACHAL PRADESH
279,250,ar_west_siang,West Siang,west_siang,12,12,AR,ARUNACHAL PRADESH
280,265,nl_dimapur,Dimapur,dimapur,13,13,NL,NAGALAND
281,269,nl_kiphire,Kiphire,kiphire,13,13,NL,NAGALAND
282,270,nl_kohima,Kohima,kohima,13,13,NL,NAGALAND
283,268,nl_longleng,Longleng,longleng,13,13,NL,NAGALAND
284,262,nl_mokokchung,Mokokchung,mokokchung,13,13,NL,NAGALAND
285,261,nl_mon,Mon,mon,13,13,NL,NAGALAND
286,792,nl_noklak,Noklak,noklak,13,13,NL,NAGALAND
287,271,nl_peren,Peren,peren,13,13,NL,NAGALAND
288,266,nl_phek,Phek,phek,13,13,NL,NAGALAND
289,267,nl_tuensang,Tuensang,tuensang,13,13,NL,NAGALAND
290,264,nl_wokha,Wokha,wokha,13,13,NL,NAGALAND
291,263,nl_zunheboto,Zunheboto,zunheboto,13,13,NL,NAGALAND
292,275,mn_bishnupur,Bishnupur,bishnupur,14,14,MN,MANIPUR
293,280,mn_chandel,Chandel,chandel,14,14,MN,MANIPUR
294,274,mn_churachandpur,Churachandpur,churachandpur,14,14,MN,MANIPUR
295,278,mn_imphal_east,Imphal East,imphal_east,14,14,MN,MANIPUR
296,277,mn_imphal_west,Imphal West,imphal_west,14,14,MN,MANIPUR
297,766,mn_jiribam,Jiribam,jiribam,14,14,MN,MANIPUR
298,768,mn_kakching,Kakching,kakching,14,14,MN,MANIPUR
299,770,mn_kamjong,Kamjong,kamjong,14,14,MN,MANIPUR
300,767,mn_kangpokpi,Kangpokpi,kangpokpi,14,14,MN,MANIPUR
301,771,mn_noney,Noney,noney,14,14,MN,MANIPUR
302,772,mn_pherzawl,Pherzawl,pherzawl,14,14,MN,MANIPUR
303,272,mn_senapati,Senapati,senapati,14,14,MN,MANIPUR
304,273,mn_tamenglong,Tamenglong,tamenglong,14,14,MN,MANIPUR
305,769,mn_tengnoupal,Tengnoupal,tengnoupal,14,14,MN,MANIPUR
306,276,mn_thoubal,Thoubal,thoubal,14,14,MN,MANIPUR
307,279,mn_ukhrul,Ukhrul,ukhrul,14,14,MN,MANIPUR
308,283,mz_aizawl,Aizawl,aizawl,15,15,MZ,MIZORAM
309,284,mz_champhai,Champhai,champhai,15,15,MZ,MIZORAM
310,793,mz_hnahthial,Hnahthial,hnahthial,15,15,MZ,MIZORAM
311,795,mz_khawzawl,Khawzawl,khawzawl,15,15,MZ,MIZORAM
312,282,mz_kolasib,Kolasib,kolasib,15,15,MZ,MIZORAM
313,287,mz_lawngtlai,Lawngtlai,lawngtlai,15,15,MZ,MIZORAM
314,286,mz_lunglei,Lunglei,lunglei,15,15,MZ,MIZORAM
315,281,mz_mamit,Mamit,mamit,15,15,MZ,MIZORAM
316,288,mz_saiha,Saiha,saiha,15,15,MZ,MIZORAM
317,794,mz_saitual,Saitual,saitual,15,15,MZ,MIZORAM
318,285,mz_serchhip,Serchhip,serchhip,15,15,MZ,MIZORAM
319,291,tr_dhalai,Dhalai,dhalai,16,16,TR,TRIPURA
320,709,tr_gomati,Gomati,gomati,16,16,TR,TRIPURA
321,708,tr_khowai,Khowai,khowai,16,16,TR,TRIPURA
322,292,tr_north_tripura,North Tripura,north_tripura,16,16,TR,TRIPURA
323,707,tr_sipahijala,Sipahijala,sipahijala,16,16,TR,TRIPURA
324,290,tr_south_tripura,South Tripura,south_tripura,16,16,TR,TRIPURA
325,710,tr_unokoti,Unokoti,unokoti,16,16,TR,TRIPURA
326,289,tr_west_tripura,West Tripura,west_tripura,16,16,TR,TRIPURA
327,294,mg_east_garo_hills,East Garo Hills,east_garo_hills,17,17,MG,MEGHALAYA
328,714,mg_east_jaintia_hills,East Jaintia Hills,east_jaintia_hills,17,17,MG,MEGHALAYA
329,298,mg_east_khasi_hills,East Khasi Hills,east_khasi_hills,17,17,MG,MEGHALAYA
330,800,mg_eastern_west_khasi_hills,Eastern West Khasi Hills,eastern_west_khasi_hills,17,17,MG,MEGHALAYA
331,712,mg_north_garo_hills,North Garo Hills,north_garo_hills,17,17,MG,MEGHALAYA
332,297,mg_ribhoi,Ribhoi,ribhoi,17,17,MG,MEGHALAYA
333,295,mg_south_garo_hills,South Garo Hills,south_garo_hills,17,17,MG,MEGHALAYA
334,711,mg_south_west_garo_hills,South West Garo Hills,south_west_garo_hills,17,17,MG,MEGHALAYA
335,713,mg_south_west_khasi_hills,South West Khasi Hills,south_west_khasi_hills,17,17,MG,MEGHALAYA
336,293,mg_west_garo_hills,West Garo Hills,west_garo_hills,17,17,MG,MEGHALAYA
337,299,mg_west_jaintia_hills,West Jaintia Hills,west_jaintia_hills,17,17,MG,MEGHALAYA
338,296,mg_west_khasi_hills,West Khasi Hills,west_khasi_hills,17,17,MG,MEGHALAYA
339,799,as_bajali,Bajali,bajali,18,18,AS,ASSAM
340,324,as_baksa,Baksa,baksa,18,18,AS,ASSAM
341,303,as_barpeta,Barpeta,barpeta,18,18,AS,ASSAM
342,756,as_biswanath,Biswanath,biswanath,18,18,AS,ASSAM
343,319,as_bongaigaon,Bongaigaon,bongaigaon,18,18,AS,ASSAM
344,316,as_cachar,Cachar,cachar,18,18,AS,ASSAM
345,755,as_charaideo,Charaideo,charaideo,18,18,AS,ASSAM
346,320,as_chirang,Chirang,chirang,18,18,AS,ASSAM
347,325,as_darrang,Darrang,darrang,18,18,AS,ASSAM
348,308,as_dhemaji,Dhemaji,dhemaji,18,18,AS,ASSAM
349,301,as_dhubri,Dhubri,dhubri,18,18,AS,ASSAM
350,310,as_dibrugarh,Dibrugarh,dibrugarh,18,18,AS,ASSAM
351,315,as_dima_hasao,Dima Hasao,dima_hasao,18,18,AS,ASSAM
352,302,as_goalpara,Goalpara,goalpara,18,18,AS,ASSAM
353,313,as_golaghat,Golaghat,golaghat,18,18,AS,ASSAM
354,318,as_hailakandi,Hailakandi,hailakandi,18,18,AS,ASSAM
355,757,as_hojai,Hojai,hojai,18,18,AS,ASSAM
356,312,as_jorhat,Jorhat,jorhat,18,18,AS,ASSAM
357,321,as_kamrup,Kamrup,kamrup,18,18,AS,ASSAM
358,322,as_kamrup_metropolitan,Kamrup Metropolitan,kamrup_metropolitan,18,18,AS,ASSAM
359,314,as_karbi_anglong,Karbi Anglong,karbi_anglong,18,18,AS,ASSAM
360,317,as_karimganj,Karimganj,karimganj,18,18,AS,ASSAM
361,300,as_kokrajhar,Kokrajhar,kokrajhar,18,18,AS,ASSAM
362,307,as_lakhimpur,Lakhimpur,lakhimpur,18,18,AS,ASSAM
363,760,as_majuli,Majuli,majuli,18,18,AS,ASSAM
364,304,as_morigaon,Morigaon,morigaon,18,18,AS,ASSAM
365,305,as_nagaon,Nagaon,nagaon,18,18,AS,ASSAM
366,323,as_nalbari,Nalbari,nalbari,18,18,AS,ASSAM
367,311,as_sivasagar,Sivasagar,sivasagar,18,18,AS,ASSAM
368,306,as_sonitpur,Sonitpur,sonitpur,18,18,AS,ASSAM
369,758,as_south_salmara_mancachar,South Salmara Mancachar,south_salmara_mancachar,18,18,AS,ASSAM
370,309,as_tinsukia,Tinsukia,tinsukia,18,18,AS,ASSAM
371,326,as_udalguri,Udalguri,udalguri,18,18,AS,ASSAM
372,759,as_west_karbi_anglong,West Karbi Anglong,west_karbi_anglong,18,18,AS,ASSAM
373,774,wb_alipurduar,Alipurduar,alipurduar,19,19,WB,WEST BENGAL
374,339,wb_bankura,Bankura,bankura,19,19,WB,WEST BENGAL
375,334,wb_birbhum,Birbhum,birbhum,19,19,WB,WEST BENGAL
376,329,wb_cooch_behar,Cooch Behar,cooch_behar,19,19,WB,WEST BENGAL
377,331,wb_dakshin_dinajpur,Dakshin Dinajpur,dakshin_dinajpur,19,19,WB,WEST BENGAL
378,327,wb_darjiling,Darjiling,darjiling,19,19,WB,WEST BENGAL
379,338,wb_hooghly,Hooghly,hooghly,19,19,WB,WEST BENGAL
380,341,wb_howrah,Howrah,howrah,19,19,WB,WEST BENGAL
381,328,wb_jalpaiguri,Jalpaiguri,jalpaiguri,19,19,WB,WEST BENGAL
382,776,wb_jhargram,Jhargram,jhargram,19,19,WB,WEST BENGAL
383,775,wb_kalimpong,Kalimpong,kalimpong,19,19,WB,WEST BENGAL
384,342,wb_kolkata,Kolkata,kolkata,19,19,WB,WEST BENGAL
385,332,wb_maldah,Maldah,maldah,19,19,WB,WEST BENGAL
386,344,wb_medinipur_west,Medinipur West,medinipur_west,19,19,WB,WEST BENGAL
387,333,wb_murshidabad,Murshidabad,murshidabad,19,19,WB,WEST BENGAL
388,336,wb_nadia,Nadia,nadia,19,19,WB,WEST BENGAL
389,337,wb_north_twenty_four_pargan*,North Twenty Four Pargan*,north_twenty_four_pargan*,19,19,WB,WEST BENGAL
390,777,wb_paschim_bardhaman,Paschim Bardhaman,paschim_bardhaman,19,19,WB,WEST BENGAL
391,335,wb_purba_bardhaman,Purba Bardhaman,purba_bardhaman,19,19,WB,WEST BENGAL
392,345,wb_purba_medinipur,Purba Medinipur,purba_medinipur,19,19,WB,WEST BENGAL
393,340,wb_puruliya,Puruliya,puruliya,19,19,WB,WEST BENGAL
394,343,wb_south_twenty_four_pargana,South Twenty Four Pargana,south_twenty_four_pargana,19,19,WB,WEST BENGAL
395,330,wb_uttar_dinajpur,Uttar Dinajpur,uttar_dinajpur,19,19,WB,WEST BENGAL
396,355,jh_bokaro,Bokaro,bokaro,20,20,JH,JHARKHAND
397,347,jh_chatra,Chatra,chatra,20,20,JH,JHARKHAND
398,350,jh_deoghar,Deoghar,deoghar,20,20,JH,JHARKHAND
399,354,jh_dhanbad,Dhanbad,dhanbad,20,20,JH,JHARKHAND
400,362,jh_dumka,Dumka,dumka,20,20,JH,JHARKHAND
401,346,jh_garhwa,Garhwa,garhwa,20,20,JH,JHARKHAND
402,349,jh_giridih,Giridih,giridih,20,20,JH,JHARKHAND
403,351,jh_godda,Godda,godda,20,20,JH,JHARKHAND
404,366,jh_gumla,Gumla,gumla,20,20,JH,JHARKHAND
405,360,jh_hazaribagh,Hazaribagh,hazaribagh,20,20,JH,JHARKHAND
406,363,jh_jamtara,Jamtara,jamtara,20,20,JH,JHARKHAND
407,365,jh_khunti,Khunti,khunti,20,20,JH,JHARKHAND
408,348,jh_kodarma,Kodarma,kodarma,20,20,JH,JHARKHAND
409,359,jh_latehar,Latehar,latehar,20,20,JH,JHARKHAND
410,356,jh_lohardaga,Lohardaga,lohardaga,20,20,JH,JHARKHAND
411,353,jh_pakur,Pakur,pakur,20,20,JH,JHARKHAND
412,358,jh_palamu,Palamu,palamu,20,20,JH,JHARKHAND
413,368,jh_pashchimi_singhbhum,Pashchimi Singhbhum,pashchimi_singhbhum,20,20,JH,JHARKHAND
